Bowdlerizer, USE Censor
Braille embosser|brl|A person, family, or organization involved in manufacturing a resource by embossing Braille cells using a stylus, special embossing printer, or other device
Broadcaster|brd|A person, family, or organization involved in broadcasting a resource to an audience via radio, television, webcast, etc.
Calligrapher|cll|A person or organization who writes in an artistic hand, usually as a copyist and or engrosser
Cartographer|ctg|A person, family, or organization responsible for creating a map, atlas, globe, or other cartographic work
Caster|cas|A person, family, or organization involved in manufacturing a resource by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold
Censor|cns|A person or organization who examines bibliographic resources for the purpose of suppressing parts deemed objectionable on moral, political, military, or other grounds, UF Bowdlerizer, UF Expurgator, Chief electrician, USE Electrician
Choreographer|chr|A person responsible for creating or contributing to a work of movement
Cinematographer|cng|A person in charge of photographing a motion picture, who plans the technical aspets of lighting and photographing of scenes, and often assists the director in the choice of angles, camera setups, and lighting moods. He or she may also supervise the further processing of filmed material up to the completion of the work print. Cinematographer is also referred to as director of photography. Do not confuse with videographer, UF Director of photography
Client|cli|A person or organization for whom another person or organization is acting
Collaborator, USE Contributor
Collection registrar|cor|A curator who lists or inventories the items in an aggregate work such as a collection of items or works
Collector|col|A curator who brings together items from various sources that are then arranged, described, and cataloged as a collection. A collector is neither the creator of the material nor a person to whom manuscripts in the collection may have been addressed
Collotyper|clt|A person, family, or organization involved in manufacturing a manifestation of photographic prints from film or other colloid that has ink-receptive and ink-repellent surfaces
Colorist|clr|A person or organization responsible for applying color to drawings, prints, photographs, maps, moving images, etc
Commentator|cmm|A performer contributing to a work by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium
Commentator for written text|cwt|A person or organization responsible for the commentary or explanatory notes about a text. For the writer of manuscript annotations in a printed book, use Annotator
Compiler|com|A person, family, or organization responsible for creating a new work (e.g., a bibliography, a directory) through the act of compilation, e.g., selecting, arranging, aggregating, and editing data, information, etc
Complainant|cpl|A person or organization who applies to the courts for redress, usually in an equity proceeding
Complainant-appellant|cpt|A complainant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding
Complainant-appellee|cpe|A complainant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding
Composer|cmp|A person, family, or organization responsible for creating or contributing to a musical resource by adding music to a work that originally lacked it or supplements it
Compositor|cmt|A person or organization responsible for the creation of metal slug, or molds made of other materials, used to produce the text and images in printed matter, UF Typesetter
Conceptor|ccp|A person or organization responsible for the original idea on which a work is based, this includes the scientific author of an audio-visual item and the conceptor of an advertisement
Conductor|cnd|A performer contributing to a musical resource by leading a performing group (orchestra, chorus, opera, etc.) in a musical or dramatic presentation, etc.
Conservator|con|A person or organization responsible for documenting, preserving, or treating printed or manuscript material, works of art, artifacts, or other media
UF Preservationist
Consultant|csl|A person or organization relevant to a resource, who is called upon for professional advice or services in a specialized field of knowledge or training
Consultant to a project|csp|A person or organization relevant to a resource, who is engaged specifically to provide an intellectual overview of a strategic or operational task and by analysis, specification, or instruction, to create or propose a cost-effective course of action or solution
Contestant|cos|A person(s) or organization who opposes, resists, or disputes, in a court of law, a claim, decision, result, etc.
Contestant-appellant|cot|A contestant who takes an appeal from one court of law or jurisdiction to another to reverse the judgment
Contestant-appellee|coe|A contestant against whom an appeal is taken from one court of law or jurisdiction to another to reverse the judgment
Contestee|cts|A person(s) or organization defending a claim, decision, result, etc. being opposed, resisted, or disputed in a court of law
Contestee-appellant|ctt|A contestee who takes an appeal from one court or jurisdiction to another to reverse the judgment
Contestee-appellee|cte|A contestee against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment
Contractor|ctr|A person or organization relevant to a resource, who enters into a contract with another person or organization to perform a specific
Contributor|ctb|A person, family or organization responsible for making contributions to the resource. This includes those whose work has been contributed to a larger work, such as an anthology, serial publication, or other compilation of individual works. If a more specific role is available, prefer that, e.g. editor, compiler, illustrator
UF Collaborator, Copier USE Facsimilist, Copier USE Forger
Copyright claimant|cpc|A person or organization listed as a copyright owner at the time of registration. Copyright can be granted or later transferred to another person or organization, at which time the claimant becomes the copyright holder
Copyright holder|cph|A person or organization to whom copy and legal rights have been granted or transferred for the intellectual content of a work. The copyright holder, although not necessarily the creator of the work, usually has the exclusive right to benefit financially from the sale and use of the work to which the associated copyright protection applies
Corrector|crr|A person or organization who is a corrector of manuscripts, such as the scriptorium official who corrected the work of a scribe. For printed matter, use Proofreader
Correspondent|crp|A person or organization who was either the writer or recipient of a letter or other communication
Costume designer|cst|A person, family, or organization that designs the costumes for a moving image production or for a musical or dramatic presentation or entertainment
Counterfeiter USE Forger
Court governed|cou|A court governed by court rules, regardless of their official nature (e.g., laws, administrative regulations)
Court reporter|crt|A person, family, or organization contributing to a resource by preparing a court's opinions for publication
Cover designer|cov|A person or organization responsible for the graphic design of a book cover, album cover, slipcase, box, container, etc. For a person or organization responsible for the graphic design of an entire book, use Book designer; for book jackets, use Bookjacket designer UF Designer of cover
Creator|cre|A person or organization responsible for the intellectual or artistic content of a resource
Curator|cur|A person, family, or organization conceiving, aggregating, and/or organizing an exhibition, collection, or other item
UF Curator of an exhibition, Curator of an exhibition USE Curator, Current owner USE Owner
Dancer|dnc|A performer who dances in a musical, dramatic, etc., presentation
Data contributor|dtc|A person or organization that submits data for inclusion in a database or other collection of data
Data manager|dtm|A person or organization responsible for managing databases or other data sources
Dedicatee|dte|A person, family, or organization to whom a resource is dedicated
UF Dedicatee of item, Dedicatee of item USE Dedicatee
Dedicator|dto|A person who writes a dedication, which may be a formal statement or in epistolary or verse form
Defendant|dfd|A person or organization who is accused in a criminal proceeding or sued in a civil proceeding
Defendant-appellant|dft|A defendant who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal action
Defendant-appellee|dfe|A defendant against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal action
Degree committee member|dgc|A person who is part of a committee that considers the merit of a thesis, dissertation, or other submission by an academic degree candidate.
Degree granting institution|dgg|A organization granting an academic degree UF Degree grantor Degree grantor, USE Degree granting institution Degree supervisor|dgs|A person overseeing a higher level academic degree
Delineator|dln|A person or organization executing technical drawings from others' designs
Depicted|dpc|An entity depicted or portrayed in a work, particularly in a work of art
Deponent USE Witness
Depositor|dpt|A current owner of an item who deposited the item into the custody of another person, family, or organization, while still retaining ownership
Designer|dsr|A person, family, or organization responsible for creating a design for an object Designer of binding USE Binding designer, Designer of book USE Book designer, Designer of bookjacket USE Bookjacket designer, Designer of cover USE Cover designer, Designer of e-book USE Book designer, Designer of type USE Type designer
Director|drt|A person responsible for the general management and supervision of a filmed performance, a radio or television program, etc. Director of photography USE Cinematographer
Dissertant|dis|A person who presents a thesis for a university or higher-level educational degree
Distribution place|dbp|A place from which a resource, e.g., a serial, is distributed
Distributor|dst|A person or organization that has exclusive or shared marketing rights for a resource
Donor|dnr|A former owner of an item who donated that item to another owner
Draftsman|drm|A person, family, or organization contributing to a resource by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc
UF Technical draftsman
Dubious author|dub|A person or organization to which authorship has been dubiously or incorrectly ascribed
Editor|edt|A person, family, or organization contributing to a resource by revising or elucidating the content, e.g., adding an introduction, notes, or other critical matter. An editor may also prepare a resource for production, publication, or distribution. For major revisions, adaptations, etc., that substantially change the nature and content of the original work, resulting in a new work, see author
Editor of compilation|edc|A person, family, or organization contributing to a collective or aggregate work by selecting and putting together works, or parts of works, by one or more creators. For compilations of data, information, etc., that result in new works, see compiler
Editor of moving image work|edm|A person, family, or organization responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects
UF Moving image work editor
Electrician|elg|A person responsible for setting up a lighting rig and focusing the lights for a production, and running the lighting at a performance
UF Chief electrician
UF House electrician
UF Master electrician
Electrotyper|elt|A person or organization who creates a duplicate printing surface by pressure molding and electrodepositing of metal that is then backed up with lead for printing
Enacting jurisdiction|enj|A jurisdiction enacting a law, regulation, constitution, court rule, etc.
Encoder
USE Markup editor
Engineer|eng|A person or organization that is responsible for technical planning and design, particularly with construction
Engraver|egr|A person or organization who cuts letters, figures, etc. on a surface, such as a wooden or metal plate used for printing
Etcher|etr|A person or organization who produces text or images for printing by subjecting metal, glass, or some other surface to acid or the corrosive action of some other substance
Event place|evp|A place where an event such as a conference or a concert took place
Expert|exp|A person or organization in charge of the description and appraisal of the value of goods, particularly rare items, works of art, etc.
UF Appraiser
Expurgator
USE Censor
Eyewitness
USE Witness
Facsimilist|fac|A person or organization that executed the facsimile
UF Copier
Field director|fld|A person or organization that manages or supervises the work done to collect raw data or do research in an actual setting or environment (typically applies to the natural and social sciences)
Film director|fmd|A director responsible for the general management and supervision of a filmed performance
Film distributor|fds|A person, family, or organization involved in distributing a moving image resource to theatres or other distribution channels
Film editor|flm|A person who, following the script and in creative cooperation with the Director, selects, arranges, and assembles the filmed material, controls the synchronization of picture and sound, and participates in other post-production tasks such as sound mixing and visual effects processing. Today, picture editing is often performed digitally.
UF Motion picture editor
Film producer|fmp|A producer responsible for most of the business aspects of a film
Filmmaker|fmk|A person, family or organization responsible for creating an independent or personal film. A filmmaker is individually responsible for the conception and execution of all aspects of the film
First party|fpy|A person or organization who is identified as the only party or the party of the first party. In the case of transfer of rights, this is the assignor, transferor, licensor, grantor, etc. Multiple parties can be named jointly as the first party
Forger|frg|A person or organization who makes or imitates something of value or importance, especially with the intent to defraud
UF Copier
UF Counterfeiter
Former owner|fmo|A person, family, or organization formerly having legal possession of an item
Funder|fnd|A person or organization that furnished financial support for the production of the work
Geographic information specialist|gis|A person responsible for geographic information system (GIS) development and integration with global positioning system data
UF Geospatial information specialist
Geospatial information specialist
USE Geographic information specialist
Graphic technician
USE Artist
Honoree|hnr|A person, family, or organization honored by a work or item (e.g., the honoree of a festschrift, a person to whom a copy is presented)
UF Honouree
UF Honouree of item
Honouree
USE Honoree
Honouree of item
USE Honoree
Host|hst|A performer contributing to a resource by leading a program (often broadcast) that includes other guests, performers, etc. (e.g., talk show host)
Host institution|his|An organization hosting the event, exhibit, conference, etc., which gave rise to a resource, but having little or no responsibility for the content of the resource
Host, supporting
USE Supporting host
House electrician
USE Electrician
Illuminator|ilu|A person providing decoration to a specific item using precious metals or color, often with elaborate designs and motifs
Illustrator|ill|A person, family, or organization contributing to a resource by supplementing the primary content with drawings, diagrams, photographs, etc. If the work is primarily the artistic content created by this entity, use artist or photographer
Imprimatur
USE Licensor
Inscriber|ins|A person who has written a statement of dedication or gift
Instructor
USE Teacher
Instrumentalist|itr|A performer contributing to a resource by playing a musical instrument
Interviewee|ive|A person, family or organization responsible for creating or contributing to a resource by responding to an interviewer, usually a reporter, pollster, or some other information gathering agent
Interviewer|ivr|A person, family, or organization responsible for creating or contributing to a resource by acting as an interviewer, reporter, pollster, or some other information gathering agent
Inventor|inv|A person, family, or organization responsible for creating a new device or process
UF Patent inventor
Issuing body|isb|A person, family or organization issuing a work, such as an official organ of the body
Joint author
USE Author
Judge|jud|A person who hears and decides on legal matters in court.
Jurisdiction governed|jug|A jurisdiction governed by a law, regulation, etc., that was enacted by another jurisdiction
Lab director
USE Laboratory director
Laboratory|lbr|An organization that provides scientific analyses of material samples
Laboratory director|ldr|A person or organization that manages or supervises work done in a controlled setting or environment
UF Lab director
Landscape architect|lsa|An architect responsible for creating landscape works. This work involves coordinating the arrangement of existing and proposed land features and structures
Lead|led|A person or organization that takes primary responsibility for a particular activity or endeavor. May be combined with another relator term or code to show the greater importance this person or organization has regarding that particular role. If more than one relator is assigned to a heading, use the Lead relator only if it applies to all the relators
Lender|len|A person or organization permitting the temporary use of a book, manuscript, etc., such as for photocopying or microfilming
Libelant|lil|A person or organization who files a libel in an ecclesiastical or admiralty case
Libelant-appellant|lit|A libelant who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment
Libelant-appellee|lie|A libelant against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment
Libelee|lel|A person or organization against whom a libel has been filed in an ecclesiastical court or admiralty
Libelee-appellant|let|A libelee who takes an appeal from one ecclesiastical court or admiralty to another to reverse the judgment
Libelee-appellee|lee|A libelee against whom an appeal is taken from one ecclesiastical court or admiralty to another to reverse the judgment
Librettist|lbt|An author of a libretto of an opera or other stage work, or an oratorio
Licensee|lse|A person or organization who is an original recipient of the right to print or publish
Licensor|lso|A person or organization who is a signer of the license, imprimatur, etc
UF Imprimatur
Lighting designer|lgd|A person or organization who designs the lighting scheme for a theatrical presentation, entertainment, motion picture, etc.
Lithographer|ltg|A person or organization who prepares the stone or plate for lithographic printing, including a graphic artist creating a design directly on the surface from which printing will be done.
Lyricist|lyr|An author of the words of a non-dramatic musical work (e.g. the text of a song), except for oratorios
Manufacture place|mfp|The place of manufacture (e.g., printing, duplicating, casting, etc.) of a resource in a published form
Manufacturer|mfr|A person or organization responsible for printing, duplicating, casting, etc. a resource
Marbler|mrb|The entity responsible for marbling paper, cloth, leather, etc. used in construction of a resource
Markup editor|mrk|A person or organization performing the coding of SGML, HTML, or XML markup of metadata, text, etc.
UF Encoder
Master electrician
USE Electrician
Medium|med|A person held to be a channel of communication between the earthly world and a world of spirits
Metadata contact|mdc|A person or organization primarily responsible for compiling and maintaining the original description of a metadata set (e.g., geospatial metadata set)
Metal-engraver|mte|An engraver responsible for decorations, illustrations, letters, etc. cut on a metal surface for printing or decoration
Minute taker|mtk|A person, family, or organization responsible for recording the minutes of a meeting
Moderator|mod|A performer contributing to a resource by leading a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion
Monitor|mon|A person or organization that supervises compliance with the contract and is responsible for the report and controls its distribution. Sometimes referred to as the grantee, or controlling agency
Motion picture editor
USE Film editor
Moving image work editor
USE Editor of moving image work
Music copyist|mcp|A person who transcribes or copies musical notation
Musical director|msd|A person who coordinates the activities of the composer, the sound editor, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment
Musician|mus|A person or organization who performs music or contributes to the musical content of a work when it is not possible or desirable to identify the function more precisely
Narrator|nrt|A performer contributing to a resource by reading or speaking in order to give an account of an act, occurrence, course of events, etc
Observer
USE Witness
Onlooker
USE Witness
Onscreen presenter|osp|A performer contributing to an expression of a work by appearing on screen in nonfiction moving image materials or introductions to fiction moving image materials to provide contextual or background information. Use when another term (e.g., narrator, host) is either not applicable or not desired
Opponent|opn|A person or organization responsible for opposing a thesis or dissertation
Organizer|orm|A person, family, or organization organizing the exhibit, event, conference, etc., which gave rise to a resource
UF Organizer of meeting
Organizer of meeting
USE Organizer
Originator|org|A person or organization performing the work, i.e., the name of a person or organization associated with the intellectual content of the work. This category does not include the publisher or personal affiliation, or sponsor except where it is also the corporate author
Other|oth|A role that has no equivalent in the MARC list.
Owner|own|A person, family, or organization that currently owns an item or collection, i.e.has legal possession of a resource
UF Current owner
Panelist|pan|A performer contributing to a resource by participating in a program (often broadcast) where topics are discussed, usually with participation of experts in fields related to the discussion
Papermaker|ppm|A person or organization responsible for the production of paper, usually from wood, cloth, or other fibrous material
Patent applicant|pta|A person or organization that applied for a patent
Patent holder|pth|A person or organization that was granted the patent referred to by the item
UF Patentee
Patent inventor
USE Inventor
Patentee
USE Patent holder
Patron|pat|A person or organization responsible for commissioning a work. Usually a patron uses his or her means or influence to support the work of artists, writers, etc. This includes those who commission and pay for individual works
Performer|prf|A person contributing to a resource by performing music, acting, dancing, speaking, etc., often in a musical or dramatic presentation, etc. If specific codes are used,|prf| is used for a person whose principal skill is not known or specified
Performer of research
USE Researcher
Permitting agency|pma|An organization (usually a government agency) that issues permits under which work is accomplished
Photographer|pht|A person, family, or organization responsible for creating a photographic work
Place of address|pad|The place to which a resource is sent, for example, the place of the postal address of a letter
Plaintiff|ptf|A person or organization who brings a suit in a civil proceeding
Plaintiff-appellant|ptt|A plaintiff who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding
Plaintiff-appellee|pte|A plaintiff against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in a legal proceeding
Platemaker|plt|A person, family, or organization involved in manufacturing a manifestation by preparing plates used in the production of printed images and/or text
Plates, printer of
USE Printer of plates
Praeses|pra|A person who is the faculty moderator of an academic disputation, normally proposing a thesis and participating in the ensuing disputation
Presenter|pre|A person or organization mentioned in an “X presents” credit for moving image materials and who is associated with production, finance, or distribution in some way. A vanity credit; in early years, normally the head of a studio
Preservationist
USE Conservator
Printer|prt|A person, family, or organization involved in manufacturing a manifestation of printed text, notated music, etc., from type or plates, such as a book, newspaper, magazine, broadside, score, etc
Printer of plates|pop|A person or organization who prints illustrations from plates.
UF Plates, printer of
Printmaker|prm|A person or organization who makes a relief, intaglio, or planographic printing surface
Process contact|prc|A person or organization primarily responsible for performing or initiating a process, such as is done with the collection of metadata sets
Producer|pro|A person, family, or organization responsible for most of the business aspects of a production for screen, audio recording, television, webcast, etc. The producer is generally responsible for fund raising, managing the production, hiring key personnel, arranging for distributors, etc.
Producer of book
USE Book producer
Production company|prn|An organization that is responsible for financial, technical, and organizational management of a production for stage, screen, audio recording, television, webcast, etc.
Production designer|prs|A person or organization responsible for designing the overall visual appearance of a moving image production
Production manager|pmn|A person responsible for all technical and business matters in a production
Production personnel|prd|A person or organization associated with the production (props, lighting, special effects, etc.) of a musical or dramatic presentation or entertainment
Production place|prp|The place of production (e.g., inscription, fabrication, construction, etc.) of a resource in an unpublished form
Programmer|prg|A person, family, or organization responsible for creating a computer program
Project director|pdr|A person or organization with primary responsibility for all essential aspects of a project, has overall responsibility for managing projects, or provides overall direction to a project manager
Promoter
USE Thesis advisor
Proofreader|pfr|A person who corrects printed matter. For manuscripts, use Corrector
Provider|prv|
A person or organization who produces, publishes, manufactures, or distributes a resource if specific codes are not desired (e.g.[mfr],[pbl])
Publication place|pup|The place where a resource is published
Publisher|pbl|A person or organization responsible for publishing, releasing, or issuing a resource
Publishing director|pbd|A person or organization who presides over the elaboration of a collective work to ensure its coherence or continuity. This includes editors-in-chief, literary editors, editors of series, etc.
Puppeteer|ppt|A performer contributing to a resource by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment
Radio director|rdd|A director responsible for the general management and supervision of a radio program
Radio producer|rpc|A producer responsible for most of the business aspects of a radio program
Recipient
USE Addressee
Recording engineer|rce|A person contributing to a resource by supervising the technical aspects of a sound or video recording session
Recordist|rcd|A person or organization who uses a recording device to capture sounds and/or video during a recording session, including field recordings of natural sounds, folkloric events, music, etc.
Redaktor|red|A person or organization who writes or develops the framework for an item without being intellectually responsible for its content
Renderer|ren|A person or organization who prepares drawings of architectural designs (i.e., renderings) in accurate, representational perspective to show what the project will look like when completed
Reporter|rpt|A person or organization who writes or presents reports of news or current events on air or in print
Repository|rps|An organization that hosts data or material culture objects and provides services to promote long term, consistent and shared use of those data or objects
Research team head|rth|A person who directed or managed a research project
Research team member|rtm|A person who participated in a research project but whose role did not involve direction or management of it
Researcher|res|A person or organization responsible for performing research
UF Performer of research
Respondent|rsp|A person or organization who makes an answer to the courts pursuant to an application for redress (usually in an equity proceeding) or a candidate for a degree who defends or opposes a thesis provided by the praeses in an academic disputation
Respondent-appellant|rst|A respondent who takes an appeal from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding
Respondent-appellee|rse|A respondent against whom an appeal is taken from one court or jurisdiction to another to reverse the judgment, usually in an equity proceeding
Responsible party|rpy|A person or organization legally responsible for the content of the published material
Restager|rsg|A person or organization, other than the original choreographer or director, responsible for restaging a choreographic or dramatic work and who contributes minimal new content
Restorationist|rsr|A person, family, or organization responsible for the set of technical, editorial, and intellectual procedures aimed at compensating for the degradation of an item by bringing it back to a state as close as possible to its original condition
Reviewer|rev|A person or organization responsible for the review of a book, motion picture, performance, etc.
Rubricator|rbr|A person or organization responsible for parts of a work, often headings or opening parts of a manuscript, that appear in a distinctive color, usually red
Scenarist|sce|A person or organization who is the author of a motion picture screenplay, generally the person who wrote the scenarios for a motion picture during the silent era
Scientific advisor|sad|A person or organization who brings scientific, pedagogical, or historical competence to the conception and realization on a work, particularly in the case of audio-visual items
Screenwriter|aus|An author of a screenplay, script, or scene
UF Author of screenplay, etc.
Scribe|scr|A person who is an amanuensis and for a writer of manuscripts proper. For a person who makes pen-facsimiles, use Facsimilist|fac|
Sculptor|scl|An artist responsible for creating a three-dimensional work by modeling, carving, or similar technique
Second party|spy|A person or organization who is identified as the party of the second part. In the case of transfer of right, this is the assignee, transferee, licensee, grantee, etc. Multiple parties can be named jointly as the second party
Secretary|sec|A person or organization who is a recorder, redactor, or other person responsible for expressing the views of a organization
Seller|sll|A former owner of an item who sold that item to another owner
Set designer|std|A person who translates the rough sketches of the art director into actual architectural structures for a theatrical presentation, entertainment, motion picture, etc. Set designers draw the detailed guides and specifications for building the set
Setting|stg|An entity in which the activity or plot of a work takes place, e.g. a geographic place, a time period, a building, an event
Signer|sgn|A person whose signature appears without a presentation or other statement indicative of provenance. When there is a presentation statement, use Inscriber|ins|.
Singer|sng|A performer contributing to a resource by using his/her/their voice, with or without instrumental accompaniment, to produce music. A singer's performance may or may not include actual words
UF Vocalist
Sound designer|sds|A person who produces and reproduces the sound score (both live and recorded), the installation of microphones, the setting of sound levels, and the coordination of sources of sound for a production
Speaker|spk|A performer contributing to a resource by speaking words, such as a lecture, speech, etc. 
Sponsor|spn|A person, family, or organization sponsoring some aspect of a resource, e.g., funding research, sponsoring an event
UF Sponsoring body
Sponsoring body
USE Sponsor
Stage director|sgd|A person or organization contributing to a stage resource through the overall management and supervision of a performance
Stage manager|stm|A person who is in charge of everything that occurs on a performance stage, and who acts as chief of all crews and assistant to a director during rehearsals
Standards body|stn|An organization responsible for the development or enforcement of a standard
Stereotyper|str|A person or organization who creates a new plate for printing by molding or copying another printing surface
Storyteller|stl|A performer contributing to a resource by relaying a creator's original story with dramatic or theatrical interpretation
Supporting host|sht|A person or organization that supports (by allocating facilities, staff, or other resources) a project, program, meeting, event, data objects, material culture objects, or other entities capable of support
UF Host, supporting
Supposed name
USE Attributed name
Surveyor|srv|A person, family, or organization contributing to a cartographic resource by providing measurements or dimensional relationships for the geographic area represented
Teacher|tch|A performer contributing to a resource by giving instruction or providing a demonstration
UF Instructor
Technical director|tcd|A person who is ultimately in charge of scenery, props, lights and sound for a production
Technical draftsman
USE Draftsman
Television director|tld|A director responsible for the general management and supervision of a television program
Television producer|tlp|A producer responsible for most of the business aspects of a television program
Testifier
USE Witness
Thesis advisor|ths|A person under whose supervision a degree candidate develops and presents a thesis, mémoire, or text of a dissertation
UF Promoter
Transcriber|trc|A person, family, or organization contributing to a resource by changing it from one system of notation to another. For a work transcribed for a different instrument or performing group, see Arranger[arr]. For makers of pen-facsimiles, use Facsimilist[fac]
Translator|trl|A person or organization who renders a text from one language into another, or from an older form of a language into the modern form
Type designer|tyd|A person or organization who designs the type face used in a particular item
UF Designer of type
Typesetter
USE Compositor
Typographer|tyg|A person or organization primarily responsible for choice and arrangement of type used in an item. If the typographer is also responsible for other aspects of the graphic design of a book (e.g., Book designer|bkd|), codes for both functions may be needed
University place|uvp|A place where a university that is associated with a resource is located, for example, a university where an academic dissertation or thesis was presented
Videographer|vdg|A person in charge of a video production, e.g. the video recording of a stage production as opposed to a commercial motion picture. The videographer may be the camera operator or may supervise one or more camera operators. Do not confuse with cinematographer
Vocalist
USE Singer
Voice actor|vac|An actor contributing to a resource by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice overs in radio and television commercials, dubbed resources, etc.
Witness|wit|
Use for a person who verifies the truthfulness of an event or action.
UF Deponent
UF Eyewitness
UF Observer
UF Onlooker
UF Testifier
Wood engraver|wde|A person or organization who makes prints by cutting the image in relief on the end-grain of a wood block
Woodcutter|wdc|A person or organization who makes prints by cutting the image in relief on the plank side of a wood block
